model,split,num_targets,mae,rmse
naive_last_value,train,50,0.2960000000000002,0.4331281565541557
naive_last_value,val,45,0.4266666666666661,0.5448751131120676
naive_last_value,test,47,0.3553191489361703,0.47958315233127197
linear_regression,train,50,0.23313531050789466,0.3069625348299495
linear_regression,val,45,0.601127815355711,0.8292176133120391
linear_regression,test,47,0.9440555706306601,1.0565277540594296
ridge,train,50,0.2331288034118157,0.3069625595509031
ridge,val,45,0.6011222308819425,0.8292676550145595
ridge,test,47,0.9441207796816738,1.056589156493285
svr_rbf,train,50,0.14555774168526994,0.2587387179061712
svr_rbf,val,45,1.0464909291566187,1.3971036755362878
svr_rbf,test,47,1.2848732725442042,1.4071856186267797
random_forest,train,50,0.17971566547210016,0.2572641899239798
random_forest,val,45,0.9805665827193628,1.2870660796353106
random_forest,test,47,1.3184654129804183,1.4507913990135868
gradient_boosting,train,50,0.2164038634075024,0.31703124893789103
gradient_boosting,val,45,0.9294470360707822,1.2406148651000715
gradient_boosting,test,47,1.197600429658341,1.3253567889623532
